标题,ID,时间,点赞
所以那些平时跟风鉴擦的明白了没女性就算穿的再正常不过仅仅是去参加个高考也会有子给她造黄谣有男人就有男凝,undefeatedundisputed,"
                6-7 23:17
                来自安徽
              ",2403
能不能把拍照的和文编告了，这已经是诽谤和侮辱了吧，评论区也全告了,尅泡心情记录册,"
                6-8 01:03
                来自山东
              ",2391
染个粉头发被网暴至死，拿个快递被造谣得抑郁症，未成年女生高考穿个裙子被造谣弃考，生怕女的考得好、工作好、过得舒坦、不受控制是吗,唐横骨,"
                6-8 09:17
                来自江苏
              ",2483
抹杀个性的短发难看的运动服都有人站台啦～对对对，穿校服的最听话啦～只能穿难看校服的那就乖死了最适合被压榨了～,簇水画屏,"
                6-8 07:37
                来自吉林
              ",2133
男的真的不行,悠悠球和我你选一个,"
                6-7 22:43
                来自江西
              ",1776
有一种刀子不能伸到屏幕对面鲨掉普信男的痛苦，我去高考也穿，也穿漂亮的小裙子，那么重要的考试当然要漂漂亮亮的，高考我们一般都是一辈子一次呢，为什么不能有纪念意义我真的，我刷到这个视频，第一反应是漂漂亮亮的小姐姐，肯定是一个很爱自己的女孩子为什么会被人网爆,Aurora-boreale,"
                6-7 23:15
                来自江西
              ",1477
我的共情能力彻底爆发，那些评论到底怎么说得出口……不管你是什么样的人，这群人衡量你的唯一标准依然是：性价值。他们赋予，他们嘲弄。泼给你脏水再嘲笑你一身脏污。,仿生猫会吃电子小鱼吗,"
                6-8 01:43
                来自上海
              ",875
穿个短裙就是卖的呀，那那群男的天天漏个大膀子是不是皮炎子早就被扣烂了,碎梦压星河2018,"
                6-8 03:48
                来自安徽
              ",891
之前被男生开黄腔，去年纪主任办公室闹半天也只是当面到了个歉，我要求当着全班的面给我道歉，年纪主任说带有惩罚性质不允许，说这群人都是本质不坏，需要疏导沟通……说白了从高中到成年以后还能这么肆无忌惮的去做这些事就是从来没有被惩罚过，从来不觉得自己是错的，毕竟连道歉都是被强制要求的,sanssuly,"
                6-8 11:01
                来自重庆
              ",761
日常怀疑染色体是不是有致残基因，男的只适合被挂在墙上,桃桃酱乌龙茶,"
                6-8 02:51
                来自安徽
              ",746
屌丝味冲出屏幕了,首选莉奥酱,"
                6-7 22:44
                来自广西
              ",656
厌女的具像化,岚莓酱和蜂蜜,"
                6-8 12:40
                来自广东
              ",714
#大象新闻引导网暴影响女生高考#,今雨渡和,"
                6-7 22:47
                来自天津
              ",635
集短，想卖钩子想魔怔了吧，自己想卖就大大方方的，别造人家女生的谣,芹泽侑理,"
                6-7 23:19
                来自陕西
              ",689
我很疑惑，这截图评论区怎么还有说高考穿校服考的？我记得我高考的时候明确说不能穿校服只能穿私服考啊？是一些造谣的楠的没高考过还是真的有学校可以穿校服啊，就算可以穿校服考凭什么你就比别人高贵了？我们以前高考还有穿睡衣的呢，校服质量那么差高考想穿好一点的衣服怎么了呢,不败的爱寄宿于这双拳,"
                6-8 03:58
                来自山东
              ",534
宫刑怎么就废除了啊，我感觉应该让某些男的享受一下,故梦www,"
                6-7 23:19
                来自黑龙江
              ",434
一些跟着男的骂女的精神男人永远学不会不猎巫，不知道第几次了，这种新闻换个男的妥妥来个第二个胖猫，上次那个“纯爱战神”，一到女的热度就没了，,神女昑凜,"
                6-8 01:18
                来自广东
              ",440
符合我对河南卫视的想象补个背景吧，河南卫视自己整了个融媒体平台，让员工在里边发东西，通过数据考核绩效，最后内卷出来的就是这玩意。另外，据说有一个月绩效第一那小子他爸有个厂，号召全厂员工给刷的数据,穿羽绒服的鸽子,"
                6-7 23:16
                来自江苏
              ",402
评论区有公人皮炎又夹不住了,吃鱼泡泡图,"
                6-7 22:53
                来自湖南
              ",309
#大象新闻引导网暴影响女生高考#对于一个高考考生，明明有很多可以写的地方，却偏偏描写了她的打扮穿着，并写出“露个大白腿”等有指向性的词汇。这个社会对女性的恶意从未减弱，仅仅是因为女生穿了个裙子，那些用下半身思考的雄性灵长类生物就开始各种负面遐想，造黄谣，贬低并羞辱。,北冥池羽,"
                6-8 00:53
                来自广东
              ",266
大象新闻你啥意思啊造谣完消防员造谣考生,睡出美味睡出鲜,"
                6-7 22:50
                来自陕西
              ",218
那句分明是麻辣女教师，又女教师了是吧,fangshanwenshui,"
                6-8 05:31
                来自山东
              ",247
求男的灭绝教程,是榴莲但不吃榴莲,"
                6-7 22:59
                来自湖北
              ",203
这群男的治好了也是流口水,钮钴禄-可爱小熊,"
                6-8 00:39
                来自广东
              ",172
最恐怖的明年再考可能还是会想起今年的事……可能对高考都有阴影了天杀的无良媒体和谣郎,银雪砌絮,"
                6-8 08:45
                来自四川
              ",191
说好全社会给高考生让路，在高考这一天对着即将高考的未成年女生造黄谣没人管了是吗？,小张的尾巴z,"
                6-7 23:28
                来自四川
              ",221
妹妹先专心考试，其他的考完再说,多次婉拒伊莱谈恋爱,"
                6-7 23:02
                来自重庆
              ",146
图上截的账号要么搜不到，要么就是改私密账号了，一群敢做不敢当的底层垃圾,R21703,"
                6-8 03:54
                来自广东
              ",160
冤枉啊，我初高中正装都是裙子，夏季校服有短裤，女生也可以留长发扎辫子，班上考到的一抓一大把，上海最好的高中甚至平时上课都可以不穿校服的,桃冬霉_,"
                6-8 00:37
                来自上海
              ",140
哈哈哈哈哈基本盘就这样，感觉可悲可恨,卅满丶,"
                6-8 06:58
                来自美国
              ",126
一些劣等人看了让人想吐,500cc上善热水,"
                6-8 04:48
                来自江苏
              ",103
能不能管管现在是谁都可以写新闻了吗,Chibi_dian,"
                6-8 07:58
                来自日本
              ",120
有些国男真是没救了,Y0_uu,"
                6-8 05:56
                来自西班牙
              ",120
你们这些小鸭子是不是高考了还放个假呀先不卖了跑网上乱认同行来了好好想想怎么伺候明天的黑哥吧,草莓奶冻瓷,"
                6-7 23:07
                来自浙江
              ",111
作为女生，看到这种新闻真的很愤怒。因为刺向女生的刀剑不是别的，是男权社会对女性的规训。那些造谣的人，几乎零成本，毁掉了一个女生，一个人生。而这些事，层出不穷。希望男性同胞想一想，如果一直这么下去，两性矛盾会越来越激化。相信这是大家都不愿意看到的结果。所以。面对这些事情，请谨慎发言,922是1,"
                6-8 02:10
                来自四川
              ",140
全社会都能对高考生最大的善意，但是你们这些男的却不能给一位正在高考中的小女孩一点尊重,吃点茶和绿豆糕,"
                6-7 23:28
                来自江苏
              ",98
共青团中央你们好宠男宝呀,土豆抹茶火鸡面,"
                6-7 23:28
                来自韩国
              ",100
虽然但是，并不是媒体，是某头条上的一个个人账号，硬要说是媒体也最多算个自媒体，他账号既没认证名字也是“汨罗江上一叶舟”何必把他的文章归为媒体评论,嫌疑人群,"
                6-7 22:51
                来自广西
              ",76
下半身思考的男的就这样,月胖胖半,"
                6-8 06:50
                来自浙江
              ",73
影响了人家高考怎么办吐我了,巴啦啦暴龙战神,"
                6-8 00:52
                来自河北
              ",77
能不能让网警照着一个个追过去给它们公开到工作单位和亲戚朋友圈里啊这么喜欢被男人玩就让全世界都知道呗,fariofk,"
                6-8 05:59
                来自湖北
              ",85
首先即使考生了被请出考场了一堆媒体堵在考场门口怼孩子脸拍也不对啊换个角度为什么号称全城让路交通改道的考场范围米内来个蚊子都会被家长解决的考场媒体就可以蹲点采访给媒体的权利是不是太多了,努力同时当乌有老鲤赫德雷的狗,"
                6-8 09:25
                来自辽宁
              ",84
這是可高考！真服了某些男的，自己大專都考不上的人生失敗組來網路上欺負考生,啾小潁,"
                6-7 23:46
                来自中国台湾
              ",64
一见短袖子，立刻想到白胳膊，立刻想到全裸体……,超能锅盖头教黑胡椒酱普通市民,"
                6-7 23:41
                来自上海
              ",55
都泄殖一体了,嫌癔人W某,"
                6-7 23:14
                来自山东
              ",51
#大象新闻引导网爆高考未成年人#,进击的美1厨,"
                6-7 22:56
                来自吉林
              ",32
共青团中央你怎么看,Renessanssi,"
                6-7 23:04
                来自安徽
              ",32
要我说男的就不该在里了解女性跟文盲似的看见一个词就拿来装自己超有文化,再说一句就再说一句,"
                6-8 13:46
                来自广东
              ",42
我去搜了一下，按照原博的截图作者是娱乐每日谭，是迷彩在线，其实两位都不是新闻媒体，最多算营销号或自媒体，更和大象新闻没关系。所以有当时大象新闻关于这次报道的截图吗？虽然大象新闻确实不是啥好媒体，但是说它“引导网暴”是不是还需要证据。。,101101嗯都可以,"
                6-8 02:47
                来自四川
              ",46
女孩子穿的哪里不正常了，这不比那些造谣的恶臭男的脑子正常多了,暴躁漓漓,"
                6-8 08:08
                来自云南
              ",49
这种莫名其妙毁掉一个女孩的戏码还要上演多少遍#考生穿鞋带金属特警购鞋送考场#,预见消逝的明日吧,"
                6-8 00:45
                来自广东
              ",51
说出那些话的拿脚指头想想％主页都是男的，剩下%是男装女,为诗行远方,"
                6-7 23:27
                来自云南
              ",44
这种文字。。。。能称为新闻老天，，，这种职业素养能称为记者，老师我们新闻系名声就是这样被毁掉的,大呀大西瓜x,"
                6-8 05:21
                来自四川
              ",33
。。。。网暴黄谣的是记不得自己逼死过多少人吗粉发女生才过去多久职业化妆来遇难小孩学校的妈妈才过去多久,暴崽子君,"
                6-8 01:05
                来自福建
              ",44
我有时候真的怀疑，染色体天生涉黄,Hey-September-,"
                6-8 01:08
                来自福建
              ",55
一见短袖子，立刻想到白臂膊，立刻想到全裸体，立刻想到生殖器，立刻想到性交，立刻想到杂交，立刻想到私生子。中国人的想像惟在这一层能够如此跃进。,用户2004520_,"
                6-8 09:38
                来自湖北
              ",41
这些人还剩的阳寿都换成妹妹高考加的分,塔矢瞳,"
                6-8 01:27
                来自湖北
              ",41
流量时代放大了男凝审美，有一点点所谓的元素。他们就像闻到味的苍蝇，足够他们颅内狂欢开趴,Oasisonia,"
                6-7 23:17
                来自浙江
              ",45
#大象新闻网暴女高考生穿裙子致其弃考#,扣1送南堡石块,"
                6-7 22:46
                来自上海
              ",48
#女考生因穿裙子而被网暴到放弃高考#我知道男的上网发表这种明显脑摊的言论就是为了把手机调成震动放入钢门自的,我是一个敏感脆弱的小女生,"
                6-7 23:02
                来自湖北
              ",37
第二张，毕业没几年，身材火辣的麻辣女教师笑死，说这个孩子衣着就罢了，哼，还老师恶心...这种写出来典型就是男性思想吗？,猫吃橘呀,"
                6-8 12:38
                来自江苏
              ",33
建议给他们了冷静一下,OA-winterbearrrr_jnnn,"
                6-8 01:17
                来自四川
              ",23
我天评论里说高考这两天为啥非得穿这样的、因为这件事小题大做不高考觉得没必要的人能不能去屎。这样穿咋了？有问题吗？高考也没说必须穿校服况且这就是很正常的穿搭啊？说没必要的人别忘了这只是个未成年小女孩，以为谁都能像他那样冷淡到骨子里脸皮厚到没边地到处说垃圾话吗？,卡斯洛KsL,"
                6-8 13:08
                来自四川
              ",18
有一种宣传叫不管别人死活,神仙丁鹏,"
                6-8 03:13
                来自北京
              ",20
这一条微博上面一条是星二代时尚大片，王诗龄穿的尖头高跟鞋和妈妈拍杂志。这样对比看得我好难过。在另一个次元里青春美丽无价，在现实世界里普通家庭小女孩是没有自由爱美的权利的。,溢出来的吖,"
                6-8 02:33
                来自浙江
              ",26
#考生穿鞋带金属特警购鞋送考场#都说高考重要，但不包括对女的是吧,218aaaa,"
                6-8 00:42
                来自山东
              ",36
因为女性身体被物化了，学生被物化了，校服被物化了，被凝视，一个孩子的着装、身体被媒体当作吸引眼球的资源，各种意义上的堕落，可悲的新闻，可鄙的为无法交配发疯的雄性,泡沫加味水,"
                6-8 15:54
                来自福建
              ",31
能不能先管管大街上不穿上衣的男的？,我的作业写不完了,"
                6-8 00:30
                来自云南
              ",20
虽然但是…在当下主流里高考已经成为了每年流量最大也是大家公认的最重要的事之一吧，即使是在这种公认的大事面前有的人依旧不放弃打着正义的旗号，给女性造黄谣如果能把这种坚持不懈的毅力放到现实生活里专注地完成一件事，也不至于现在只能依靠在网络上进行一些猎巫行动来实现自己的价值…,拉屎不用小包纸,"
                6-8 03:05
                来自北京
              ",30
有人拿出女孩早期言论，说她厌女辱女。那些话我看了确实也很难受，但是她无论说过做过什么，都不该有媒体这么带节奏造谣网暴她，更何况是人生很重要的高考时刻。而且个人坚信女性厌女、雌竞等都是父权社会造成的，遇事我们应该团结一心。,国王秋秋,"
                6-9 03:04
                来自陕西
              ",19
一边说着高考生重要一边造谣网暴女生，你们说的重要不会仅男考生适用吧//今雨渡和#大象新闻引导网暴影响女生高考#,有点吃够麦当当了,"
                6-7 23:19
                来自黑龙江
              ",15
不是这踏马是高考啊，这是高考啊，能不能报警啊我操,旧柿旧柿,"
                6-8 02:04
                来自陕西
              ",21
#女考生因穿裙子而被网暴到放弃高考#穿的好看点参加人生的重要时刻怎么了又没暴露不是所有的衣服都是男凝的产物,忧伤催眠曲,"
                6-7 23:10
                来自辽宁
              ",16
有些楠的是不是自己站街站久了所以看谁都是同行,呃呃呃怎么你了呢,"
                6-8 09:12
                来自河北
              ",12
图片里诸多男性的评论，让我对男性群体的素质下线有了新的认识。,假两难选择,"
                6-8 03:42
                来自福建
              ",14
只能说要以绝对的恶来解读男人当时我也是高考前学校组织模考坐我位置上的陌生男生在我的追星小卡背面开，我的学校老师管的严中考市排名最前面的人才能进，理论上不会有人渣，且我的小卡在我备用笔袋里面我根本没放在抽屉显眼的地方，很明显就是他自己私自打开我的笔袋看见小卡上的帅哥破防了,Christina_霖7,"
                6-8 10:44
                来自江苏
              ",16
支持女生发声，但是为什么的聊天记录是昨天可以今天不行？今天（.日）是高考的第一天吧，那昨天从何而来？难道是考场踩点模拟？但是就算踩点模拟应该也没有安检吧？这是今年的新闻吗？,看我微博先给钱,"
                6-8 00:45
                来自广东
              ",16
男的编男的信，赛博刚交,我看谁不知道我有只小柯基,"
                6-8 00:14
                来自黑龙江
              ",17
#女考生因穿裙子而被网暴到放弃高考#,图多盖洛202007,"
                6-7 22:45
                来自山东
              ",5
这张图居然是真的,A_ZAnnita,"
                6-8 12:14
                来自美国
              ",14
大家举报大象新闻，投诉页选网暴，填被害人，举证放截图,茉奈碧碧,"
                6-8 12:37
                来自广东
              ",14
为什么要伤害一个高考生？就因为她是女的穿了裙子？,不可解魔术成分,"
                6-8 11:32
                来自江西
              ",13
这是在挑衅高考#女考生因穿裙子而被网暴到放弃高考#,再说一句就再说一句,"
                6-8 10:20
                来自广东
              ",10
震惊了,Cherry栗酱,"
                6-8 05:18
                来自广东
              ",3
我记得我们高考那年很多妹妹穿漂亮的裙子还有穿洛丽塔的特别好看老师也强调可以穿自己觉得漂亮舒适的衣服不一定要穿校服我真的恨死图上这群猪头焖子了,人这种东西沾一点猫就完了,"
                6-8 01:00
                来自河北
              ",11
她在空间发替她说话的女博主是行走的五十万,京京京京鳩,"
                6-10 00:09
                来自河南
              ",12
一帮月薪不过的意淫别人出来卖我看最需要卖的是你吧老哥趁着年轻屁股紧能多卖几次卖几次,_oss7ev,"
                6-8 13:03
                来自四川
              ",9
应该定期清理男人这样世界才会更加美丽,wyidingybiandhyq,"
                6-8 12:39
                来自山东
              ",11
孩子先不谈高考咋样了心理没出问题都是好的了真是一群杀人不眨眼的凶手,Justiiiin_,"
                6-8 11:29
                来自江苏
              ",7
眼睛连膀胱看啥都臊的一群件货去工地搬几天砖就老实了,_思烈慕贤,"
                6-8 19:00
                来自山西
              ",4
她是穿衣服了又不是没穿衣服…大清已经亡了………,你别管我在说什么,"
                6-8 16:43
                来自湖北
              ",8
简楠又刷新我的认知了,礁石恋屿,"
                6-8 07:51
                来自广东
              ",7
#女考生因穿裙子而被网暴到放弃高考#,廿四有八,"
                6-8 04:56
                来自山西
              ",4
#大象新闻引导网爆高考未成年人#,我是蛋挞__,"
                6-7 22:57
                来自江苏
              ",7
的就是不行,林穷安,"
                6-7 22:52
                来自广东
              ",4
最讽刺的是这个，失恋跳江的可以得到三四天热搜,小羊每天都很困k,"
                6-11 17:19
                来自北京
              ",4
“一见到短袖子，立刻想到白胳膊，立刻想到全裸体，立刻想到生殖器，立刻想到性交，立刻想到杂交，立刻想到私生子。中国人的想像惟在这一层能够如此跃进”。鲁迅当时批判的是封建社会对人性的压制的扭曲。,孤独海里捞一杯,"
                6-9 00:53
                来自河南
              ",15
都来喷他，都来//单水轩弃考就是自己想的吧,吃肉饼的汉堡堡233,"
                6-8 19:15
                来自山西
              ",2
我高考那天穿的也是裙子放现在我不得被他们网暴死,背着综综跑,"
                6-8 12:58
                来自浙江
              ",3
到底什么时候清朗对全体女性的黄谣侮辱,炫光渡渡鸟,"
                6-8 09:18
                来自广西
              ",7
全国高考的日子，你们媒体去造一个女孩的黄谣？,Moment_喵喵喵,"
                6-8 08:55
                来自北京
              ",8
大象新闻你现在唯一的公关方式就是跳江让你挂十天热搜洗白,全人类都亖了,"
                6-7 23:50
                来自福建
              ",8
#大象新闻引导网暴致使高考生弃考#,网上冲浪的被夹用户,"
                6-7 22:52
                来自河北
              ",5
物种是公勾的，身材是飞柱的，网上是低能的，内库是不洗的，床单是焦黄的，现实是抚琴趋势的，下面是羊尾的，人是超雄的,桢猪甜薇包,"
                6-9 18:42
                来自广东
              ",5
#国男被韩国财阀玩到脱岗#,伤害晓青蛙的都下地狱-,"
                6-9 16:14
                来自山东
              ",2
简中男味儿溢出来了,朴智旻老肩巨滑,"
                6-9 00:04
                来自湖北
              ",4
原来是这样的阿澈-我嘞个出生东西,噔噔噔噔喂,"
                6-8 18:11
                来自湖北
              ",2
好好打扮迎接自己重要的日子有错吗，难道高考生就一定只能穿运动服或者校服吗。都是些什么封建余孽，,lyjkzq,"
                6-8 17:04
                来自湖北
              ",3
#大象新闻引导网暴致使高考生弃考#,ITIIITIATIIHYLIHYL,"
                6-7 23:01
                来自澳大利亚
              ",2
#女考生因穿裙子而被网暴到放弃高考#集短们又偷偷藏不住了,月歌不想上学,"
                6-7 22:58
                来自江西
              ",5
简中媒体,烟雨书玉,"
                6-7 22:49
                来自河南
              ",1
#国男被韩国财阀玩到脱岗#,evenah,"
                6-9 19:26
                来自四川
              ",3
成分是复杂的，智力是低下的，性别是公的，物种是公猪的，成绩是倒数的，校园是凌弱的，校外是惧强的，毕业是进厂的，网上是低能的，身材是飞柱的，性格是易碎的，内裤是不洗的，床单是焦黄的，负琴是趋势的，下面是羊尾的，后面是黑洞的，价格是倒贴的，后庭是松弛的。染色体是这样的,小羊栓q糖_,"
                6-9 01:03
                来自湖南
              ",4
老师说了，穿着你最喜欢的衣服，高高兴兴的去考试，有什么不可以，开黄腔的这些人是对自己的生活不满吗,涵米米米,"
                6-8 19:19
                来自湖南
              ",3
我说男的就不能从事传媒行业,玫瑰花Public,"
                6-8 19:07
                来自黑龙江
              ",3
一群神金闻着味就来了，给考高考生让路怎么现在都开始造了？共青团中央来管管呢,寒霜降雪qqhm,"
                6-8 18:22
                来自陕西
              ",3
看的我好气啊就是很正常的穿搭啊有什么不得体的地方吗我请问女生穿一个裙子去考试怎么了我请问哪里不合理了把自己打扮的漂漂亮亮去考试怎么就不行了自己心情美丽考的好点不行吗,帮小k把路捋顺,"
                6-8 13:07
                来自广东
              ",5
,鼠标点击键,"
                6-8 12:23
                来自四川
              ",
是这样的…永远会逮着好看的得不到的女生造凰,停宝,"
                6-8 10:57
                来自山东
              ",3
#国男被韩国财阀玩到脱岗#,沉洱洱,"
                6-8 09:42
                来自河北
              ",1
神经病啊,椰子兔兔饼,"
                6-8 07:52
                来自重庆
              ",4
大家不要执着于自证陷阱，不要思路被带着走到回应其他辱骂，现在应该集中舆论力量给当初发视频的账号压力让他们道歉！！！,间宫卓司梦扶他,"
                6-8 01:07
                来自上海
              ",13
这也能网暴，女的以后不拿铁桶把自己围上是不行了吗，现在考试都受影响了，有人出来负责吗。天天问为啥不让拍照，成天抓偷拍干啥，答案不就在这里吗,珑瞳,"
                6-8 00:57
                来自浙江
              ",3
#女考生因穿裙子而被网暴到放弃高考#谁告诉你们穿裙子是给男凝的,忧伤催眠曲,"
                6-7 23:11
                来自辽宁
              ",3
#大象新闻引导网爆高考未成年人#,写完paper的桑晒,"
                6-7 23:10
                来自广东
              ",1
男人都是上不了台面的东西骂我默认你支持我,书旧序,"
                6-9 14:52
                来自广东
              ",2
真的很正常的穿搭,ice-cream心,"
                6-8 23:49
                来自湖南
              ",5
我劝你们拍片的别再让女生穿校服类的衣服了，你看为了满足自己想侵犯未成年的心理误导了多少人,你老爸怀孕了恭喜恭喜,"
                6-8 23:05
                来自湖北
              ",3
图片评论,脸蛋不元,"
                6-8 18:13
                来自广西
              ",3
好多散发着熏味的签楠，黑名单进货了,AAA蜂蜜批发包汤圆,"
                6-8 15:30
                来自广东
              ",3
穿裙子怎么了我高考那天也看到很多女生穿裙子啊高中三年穿了三年的校服还不让人家毕业穿裙子了对着女生就造谣管管下半身吧学生还有可能是未成年你们就是这么保护未成年的？,讨厌下雨天ddd,"
                6-8 08:15
                来自天津
              ",2
都有那些人和组织参与了这场网暴？强烈要求都公布出来！,顺心如意ha,"
                6-8 06:49
                来自美国
              ",2
#女考生因穿裙子而被网暴到放弃高考#有没有人管管啊我请问呢人家穿个裙子咋了,nikiiiiifly,"
                6-8 03:26
                来自河南
              ",3
这么关键的时候，难以理解，穿着没有任何问题吧，怎么不去管管街上赤膊的大爷大叔，现在的媒体导向到底是什么,深瞳之海,"
                6-8 02:34
                来自江苏
              ",7
为何会允许媒体在高考这一天给考生造黄谣？为啥还不整治这种媒体,库啵丝,"
                6-8 01:37
                来自广东
              ",5
太恶心了再普通不过的装扮呀裙子又怎能了,bukilleee,"
                6-8 00:27
                来自湖北
              ",2
卧槽建议一割治底。。,仙八子盒,"
                6-8 00:08
                来自北京
              ",2
符合我对楠人的认知，媒体不像媒体，新闻内容比下水道的味儿还恶心,撞钟晚不醒喵,"
                6-7 23:38
                来自河南
              ",3
造黄谣的进局子吧,鹤未l,"
                6-7 23:02
                来自重庆
              ",3
,你不记得我了吗-,"
                6-9 16:16
                来自新疆
              ",3
还是……很生气，生气在我无所可为，愤怒在无能为力，可悲在社会从来如此但是却有人不承认，又可叹一个女孩的背后是多少个同样的女孩，规训从来都是规训，本来是正确的东西为何要被指责……一个女孩到底生来做错了什么？可是我们什么都没错啊,一只不想翻身的茶茶,"
                6-9 12:09
                来自浙江
              ",1
#男网友网暴高考考生导致其弃考#到底是哪個把我的睡意偷走了老师可以编辑一下多带一个话题吗，咱试试以施害者开头,不快乐紫薯精Goh,"
                6-8 22:59
                来自四川
              ",1
不止，还有一个老师，明明这次只是带队点名点完以后拜托特警带她到另外一个考场看学生，结果被人说是监考老师走错考场，还被别人说衣服穿的不得体,陇玉想要偷懒,"
                6-8 18:53
                来自江西
              ",4
现在的媒体真的该整治一下了，这几天看到好多都报道虚假信息,第十六年冬--,"
                6-8 18:47
                来自江苏
              ",1
一见短袖子，立刻想到白臂膊，立刻想到全裸体，立刻想到生殖器，立刻想到性交，立刻想到杂交，立刻想到私生子。中国人的想像惟在这一层能够如此跃进。,Jant_DIABLO,"
                6-8 17:45
                来自山东
              ",6
即使是规则内，在这里跟别人不一样就是犯错就要被人骂我真服了。怎么不说现在学校搞礼服也是穿裙子呢。裙子根本不是问题，问题是在他们眼里是另类就要追着骂。对于女性、穿裙子，开黄腔就是最简单的攻击方向。,IRLGO,"
                6-8 17:11
                来自广东
              ",4
如图。。。。,荻花瑟,"
                6-8 14:34
                来自安徽
              ",2
男人基本盘又不是第一天知道,mumabp,"
                6-8 13:01
                来自福建
              ",3
数据女工又跑来做数据了,老史提芬周,"
                6-8 12:56
                来自天津
              ",1
但凡一个正常人都不会站在男宝那边,Gocattygo,"
                6-8 12:37
                来自四川
              ",4
图上男的都四了,-亡念疯人堂-,"
                6-8 11:35
                来自上海
              ",1
记得我小学的校服就是短裙制服过膝袜，发展到今天变成擦边不正常的穿搭。一群脑子里只装着生殖器的人。以后是不是只要女生露腿露胳膊都能被你们疯狂意淫被性化。//仿生猫会吃电子小鱼吗游戏里女角色没有不露大腿秀的权利，现实里女孩子没有露大腿的权利。原因都是女性价值被彻底冠以性价值。,眼中枯木逢春,"
                6-8 11:25
                来自上海
              ",5
共青团中央别装瞎,b不良执念清除师,"
                6-8 11:20
                来自内蒙古
              ",2
好恶心啊我厌男不是没理由的。。。,我也喜欢公主,"
                6-8 10:35
                来自广东
              ",1
去当事人主页看了。那个妹妹已经不准备今年继续高考了。点进超话看有些评论真的恶臭,持续梦游中的橘子,"
                6-8 10:31
                来自江苏
              ",2
